,trial,item_l,item_r,choice,rt,subj,YesNo,response,item,Item_l,Item_r,Item,A,repetitions
51,52,stim_payday.jpg,stim_almondjoy.jpg,2.0,2.304416,601.0,0.0,,,12.0,1.0,0.0,1.0,
52,53,stim_reeses.jpg,stim_crunch.jpg,2.0,1.502876,601.0,0.0,,,13.0,4.0,0.0,1.0,
53,54,stim_fruitsnacks.jpg,stim_milkyway.jpg,1.0,0.75144,601.0,0.0,,,5.0,8.0,0.0,1.0,
54,55,stim_reeses.jpg,stim_whoppers.jpg,2.0,1.001923,601.0,0.0,,,13.0,17.0,0.0,1.0,
55,56,stim_milkyway.jpg,stim_skittles.jpg,1.0,1.385977,601.0,0.0,,,8.0,14.0,0.0,1.0,
56,57,stim_mrgoodbar.jpg,stim_babyruth.jpg,2.0,2.13744,601.0,0.0,,,11.0,2.0,0.0,1.0,
57,58,stim_whoppers.jpg,stim_almondjoy.jpg,1.0,1.452769,601.0,0.0,,,17.0,1.0,0.0,1.0,
58,59,stim_hundredgrand.jpg,stim_mmpeanut.jpg,1.0,1.018605,601.0,0.0,,,6.0,10.0,0.0,1.0,
59,60,stim_kitkat.jpg,stim_mmpeanut.jpg,1.0,0.66791,601.0,0.0,,,7.0,10.0,0.0,1.0,
60,61,stim_almondjoy.jpg,stim_sourpatchkids.jpg,1.0,2.805383,601.0,0.0,,,1.0,16.0,0.0,1.0,
61,62,stim_whoppers.jpg,stim_skittles.jpg,1.0,0.66792,601.0,0.0,,,17.0,14.0,0.0,1.0,
62,63,stim_kitkat.jpg,stim_snickers.jpg,1.0,0.834924,601.0,0.0,,,7.0,15.0,0.0,1.0,
63,64,stim_snickers.jpg,stim_mmchocolate.jpg,2.0,1.953712,601.0,0.0,,,15.0,9.0,0.0,1.0,
64,65,stim_mrgoodbar.jpg,stim_fruitsnacks.jpg,2.0,0.885011,601.0,0.0,,,11.0,5.0,0.0,1.0,
65,66,stim_crunch.jpg,stim_mmpeanut.jpg,1.0,0.751406,601.0,0.0,,,4.0,10.0,0.0,1.0,
66,67,stim_fruitsnacks.jpg,stim_sourpatchkids.jpg,1.0,0.718032,601.0,0.0,,,5.0,16.0,0.0,1.0,
67,68,stim_butterfinger.jpg,stim_kitkat.jpg,2.0,0.734729,601.0,0.0,,,3.0,7.0,0.0,1.0,
68,69,stim_kitkat.jpg,stim_almondjoy.jpg,1.0,0.884996,601.0,0.0,,,7.0,1.0,0.0,1.0,
69,70,stim_reeses.jpg,stim_fruitsnacks.jpg,2.0,0.718008,601.0,0.0,,,13.0,5.0,0.0,1.0,
70,71,stim_babyruth.jpg,stim_crunch.jpg,2.0,0.985229,601.0,0.0,,,2.0,4.0,0.0,1.0,
71,72,stim_kitkat.jpg,stim_reeses.jpg,1.0,0.651238,601.0,0.0,,,7.0,13.0,0.0,1.0,
72,73,stim_sourpatchkids.jpg,stim_whoppers.jpg,2.0,0.968507,601.0,0.0,,,16.0,17.0,0.0,1.0,
73,74,stim_milkyway.jpg,stim_snickers.jpg,2.0,1.035325,601.0,0.0,,,8.0,15.0,0.0,1.0,
74,75,stim_payday.jpg,stim_babyruth.jpg,2.0,1.068708,601.0,0.0,,,12.0,2.0,0.0,1.0,
75,76,stim_payday.jpg,stim_mmchocolate.jpg,2.0,0.734739,601.0,0.0,,,12.0,9.0,0.0,1.0,
76,77,stim_milkyway.jpg,stim_payday.jpg,1.0,0.784824,601.0,0.0,,,8.0,12.0,0.0,1.0,
77,78,stim_babyruth.jpg,stim_almondjoy.jpg,1.0,0.985199,601.0,0.0,,,2.0,1.0,0.0,1.0,
78,79,stim_mrgoodbar.jpg,stim_kitkat.jpg,2.0,0.651248,601.0,0.0,,,11.0,7.0,0.0,1.0,
79,80,stim_skittles.jpg,stim_hundredgrand.jpg,2.0,1.168877,601.0,0.0,,,14.0,6.0,0.0,1.0,
80,81,stim_snickers.jpg,stim_payday.jpg,1.0,0.951801,601.0,0.0,,,15.0,12.0,0.0,1.0,
81,82,stim_mmpeanut.jpg,stim_mrgoodbar.jpg,2.0,3.38985,601.0,0.0,,,10.0,11.0,0.0,1.0,
82,83,stim_mmchocolate.jpg,stim_crunch.jpg,1.0,0.651304,601.0,0.0,,,9.0,4.0,0.0,1.0,
83,84,stim_mmpeanut.jpg,stim_butterfinger.jpg,1.0,2.271009,601.0,0.0,,,10.0,3.0,0.0,1.0,
84,85,stim_mmpeanut.jpg,stim_whoppers.jpg,2.0,1.068744,601.0,0.0,,,10.0,17.0,0.0,1.0,
85,86,stim_reeses.jpg,stim_almondjoy.jpg,2.0,1.853572,601.0,0.0,,,13.0,1.0,0.0,1.0,
86,87,stim_fruitsnacks.jpg,stim_mmchocolate.jpg,1.0,0.818199,601.0,0.0,,,5.0,9.0,0.0,1.0,
87,88,stim_mmpeanut.jpg,stim_fruitsnacks.jpg,2.0,0.768117,601.0,0.0,,,10.0,5.0,0.0,1.0,
88,89,stim_skittles.jpg,stim_kitkat.jpg,2.0,1.001953,601.0,0.0,,,14.0,7.0,0.0,1.0,
89,90,stim_mmchocolate.jpg,stim_skittles.jpg,1.0,0.684616,601.0,0.0,,,9.0,14.0,0.0,1.0,
90,91,stim_mrgoodbar.jpg,stim_sourpatchkids.jpg,2.0,2.087348,601.0,0.0,,,11.0,16.0,0.0,1.0,
91,92,stim_payday.jpg,stim_skittles.jpg,2.0,1.369285,601.0,0.0,,,12.0,14.0,0.0,1.0,
92,93,stim_almondjoy.jpg,stim_skittles.jpg,2.0,1.770048,601.0,0.0,,,1.0,14.0,0.0,1.0,
93,94,stim_whoppers.jpg,stim_crunch.jpg,2.0,1.352594,601.0,0.0,,,17.0,4.0,0.0,1.0,
94,95,stim_kitkat.jpg,stim_payday.jpg,1.0,0.768134,601.0,0.0,,,7.0,12.0,0.0,1.0,
95,96,stim_sourpatchkids.jpg,stim_mmchocolate.jpg,2.0,0.684658,601.0,0.0,,,16.0,9.0,0.0,1.0,
96,97,stim_crunch.jpg,stim_almondjoy.jpg,1.0,0.91842,601.0,0.0,,,4.0,1.0,0.0,1.0,
97,98,stim_hundredgrand.jpg,stim_sourpatchkids.jpg,1.0,0.718011,601.0,0.0,,,6.0,16.0,0.0,1.0,
98,99,stim_snickers.jpg,stim_babyruth.jpg,1.0,0.801524,601.0,0.0,,,15.0,2.0,0.0,1.0,
99,100,stim_butterfinger.jpg,stim_sourpatchkids.jpg,2.0,0.968521,601.0,0.0,,,3.0,16.0,0.0,1.0,
100,101,stim_fruitsnacks.jpg,stim_hundredgrand.jpg,1.0,0.634517,601.0,0.0,,,5.0,6.0,0.0,1.0,
101,102,stim_milkyway.jpg,stim_babyruth.jpg,1.0,1.202293,601.0,0.0,,,8.0,2.0,0.0,1.0,
102,103,stim_fruitsnacks.jpg,stim_whoppers.jpg,1.0,0.63453,601.0,0.0,,,5.0,17.0,0.0,1.0,
103,104,stim_snickers.jpg,stim_sourpatchkids.jpg,1.0,1.68656,601.0,0.0,,,15.0,16.0,0.0,1.0,
104,105,stim_mmchocolate.jpg,stim_almondjoy.jpg,1.0,0.734726,601.0,0.0,,,9.0,1.0,0.0,1.0,
105,106,stim_babyruth.jpg,stim_fruitsnacks.jpg,2.0,0.70133,601.0,0.0,,,2.0,5.0,0.0,1.0,
106,107,stim_payday.jpg,stim_mrgoodbar.jpg,2.0,2.25433,601.0,0.0,,,12.0,11.0,0.0,1.0,
107,108,stim_payday.jpg,stim_crunch.jpg,2.0,0.718037,601.0,0.0,,,12.0,4.0,0.0,1.0,
108,109,stim_sourpatchkids.jpg,stim_babyruth.jpg,1.0,2.18753,601.0,0.0,,,16.0,2.0,0.0,1.0,
109,110,stim_mrgoodbar.jpg,stim_hundredgrand.jpg,2.0,0.91841,601.0,0.0,,,11.0,6.0,0.0,1.0,
110,111,stim_skittles.jpg,stim_reeses.jpg,1.0,0.935093,601.0,0.0,,,14.0,13.0,0.0,1.0,
111,112,stim_almondjoy.jpg,stim_mrgoodbar.jpg,1.0,1.519574,601.0,0.0,,,1.0,11.0,0.0,1.0,
112,113,stim_reeses.jpg,stim_sourpatchkids.jpg,2.0,1.202283,601.0,0.0,,,13.0,16.0,0.0,1.0,
113,114,stim_reeses.jpg,stim_butterfinger.jpg,1.0,2.671834,601.0,0.0,,,13.0,3.0,0.0,1.0,
114,115,stim_skittles.jpg,stim_babyruth.jpg,1.0,1.937049,601.0,0.0,,,14.0,2.0,0.0,1.0,
115,116,stim_reeses.jpg,stim_milkyway.jpg,2.0,1.419382,601.0,0.0,,,13.0,8.0,0.0,1.0,
116,117,stim_reeses.jpg,stim_mrgoodbar.jpg,2.0,1.686549,601.0,0.0,,,13.0,11.0,0.0,1.0,
117,118,stim_kitkat.jpg,stim_whoppers.jpg,1.0,0.968522,601.0,0.0,,,7.0,17.0,0.0,1.0,
118,119,stim_skittles.jpg,stim_mrgoodbar.jpg,1.0,0.985234,601.0,0.0,,,14.0,11.0,0.0,1.0,
119,120,stim_fruitsnacks.jpg,stim_snickers.jpg,1.0,0.651236,601.0,0.0,,,5.0,15.0,0.0,1.0,
120,121,stim_milkyway.jpg,stim_mmpeanut.jpg,1.0,1.035297,601.0,0.0,,,8.0,10.0,0.0,1.0,
121,122,stim_payday.jpg,stim_whoppers.jpg,2.0,1.436083,601.0,0.0,,,12.0,17.0,0.0,1.0,
122,123,stim_babyruth.jpg,stim_reeses.jpg,1.0,1.001897,601.0,0.0,,,2.0,13.0,0.0,1.0,
123,124,stim_hundredgrand.jpg,stim_crunch.jpg,2.0,1.001911,601.0,0.0,,,6.0,4.0,0.0,1.0,
124,125,stim_mrgoodbar.jpg,stim_butterfinger.jpg,1.0,1.218993,601.0,0.0,,,11.0,3.0,0.0,1.0,
125,126,stim_skittles.jpg,stim_mmpeanut.jpg,1.0,0.801544,601.0,0.0,,,14.0,10.0,0.0,1.0,
126,127,stim_payday.jpg,stim_fruitsnacks.jpg,2.0,0.784822,601.0,0.0,,,12.0,5.0,0.0,1.0,
127,128,stim_mmpeanut.jpg,stim_almondjoy.jpg,2.0,1.319189,601.0,0.0,,,10.0,1.0,0.0,1.0,
128,129,stim_whoppers.jpg,stim_mmchocolate.jpg,2.0,0.651219,601.0,0.0,,,17.0,9.0,0.0,1.0,
129,130,stim_hundredgrand.jpg,stim_butterfinger.jpg,1.0,0.751453,601.0,0.0,,,6.0,3.0,0.0,1.0,
130,131,stim_kitkat.jpg,stim_hundredgrand.jpg,1.0,1.452771,601.0,0.0,,,7.0,6.0,0.0,1.0,
131,132,stim_payday.jpg,stim_butterfinger.jpg,1.0,3.206162,601.0,0.0,,,12.0,3.0,0.0,1.0,
132,133,stim_payday.jpg,stim_reeses.jpg,2.0,1.903636,601.0,0.0,,,12.0,13.0,0.0,1.0,
133,134,stim_hundredgrand.jpg,stim_mmchocolate.jpg,2.0,0.784812,601.0,0.0,,,6.0,9.0,0.0,1.0,
134,135,stim_mmpeanut.jpg,stim_sourpatchkids.jpg,2.0,1.102091,601.0,0.0,,,10.0,16.0,0.0,1.0,
135,136,stim_mmchocolate.jpg,stim_butterfinger.jpg,1.0,0.701323,601.0,0.0,,,9.0,3.0,0.0,1.0,
136,1,,,,4.374971,601.0,1.0,1.0,stim_babyruth.jpg,0.0,0.0,2.0,1.0,10.0
137,2,,,,3.207723,601.0,1.0,0.0,stim_payday.jpg,0.0,0.0,12.0,1.0,10.0
138,3,,,,3.976885,601.0,1.0,1.0,stim_hundredgrand.jpg,0.0,0.0,6.0,1.0,10.0
139,4,,,,3.659116,601.0,1.0,0.0,stim_skittles.jpg,0.0,0.0,14.0,1.0,10.0
140,5,,,,1.621398,601.0,1.0,0.0,stim_butterfinger.jpg,0.0,0.0,3.0,1.0,10.0
141,6,,,,1.153349,601.0,1.0,0.0,stim_almondjoy.jpg,0.0,0.0,1.0,1.0,10.0
142,7,,,,1.121364,601.0,1.0,0.0,stim_whoppers.jpg,0.0,0.0,17.0,1.0,10.0
143,8,,,,1.237774,601.0,1.0,1.0,stim_kitkat.jpg,0.0,0.0,7.0,1.0,10.0
144,9,,,,0.970573,601.0,1.0,0.0,stim_reeses.jpg,0.0,0.0,13.0,1.0,10.0
145,10,,,,1.721561,601.0,1.0,1.0,stim_mmchocolate.jpg,0.0,0.0,9.0,1.0,10.0
146,11,,,,0.853753,601.0,1.0,0.0,stim_sourpatchkids.jpg,0.0,0.0,16.0,1.0,10.0
147,12,,,,1.054591,601.0,1.0,1.0,stim_fruitsnacks.jpg,0.0,0.0,5.0,1.0,10.0
148,13,,,,1.019727,601.0,1.0,0.0,stim_mrgoodbar.jpg,0.0,0.0,11.0,1.0,10.0
149,14,,,,2.623782,601.0,1.0,1.0,stim_milkyway.jpg,0.0,0.0,8.0,1.0,10.0
150,15,,,,0.787405,601.0,1.0,0.0,stim_mmpeanut.jpg,0.0,0.0,10.0,1.0,10.0
151,16,,,,2.923413,601.0,1.0,1.0,stim_snickers.jpg,0.0,0.0,15.0,1.0,10.0
152,17,,,,1.989237,601.0,1.0,1.0,stim_crunch.jpg,0.0,0.0,4.0,1.0,10.0
153,18,,,,2.289813,601.0,1.0,1.0,stim_snickers.jpg,0.0,0.0,15.0,1.0,10.0
154,19,,,,1.287404,601.0,1.0,1.0,stim_milkyway.jpg,0.0,0.0,8.0,1.0,10.0
155,20,,,,1.154825,601.0,1.0,1.0,stim_babyruth.jpg,0.0,0.0,2.0,1.0,10.0
156,21,,,,1.119923,601.0,1.0,1.0,stim_hundredgrand.jpg,0.0,0.0,6.0,1.0,10.0
157,22,,,,1.004489,601.0,1.0,0.0,stim_payday.jpg,0.0,0.0,12.0,1.0,10.0
158,23,,,,0.787399,601.0,1.0,0.0,stim_whoppers.jpg,0.0,0.0,17.0,1.0,10.0
159,24,,,,0.652451,601.0,1.0,0.0,stim_reeses.jpg,0.0,0.0,13.0,1.0,10.0
160,25,,,,0.552631,601.0,1.0,0.0,stim_skittles.jpg,0.0,0.0,14.0,1.0,10.0
161,26,,,,0.653807,601.0,1.0,0.0,stim_mrgoodbar.jpg,0.0,0.0,11.0,1.0,10.0
162,27,,,,1.20497,601.0,1.0,1.0,stim_fruitsnacks.jpg,0.0,0.0,5.0,1.0,10.0
163,28,,,,1.053649,601.0,1.0,1.0,stim_mmchocolate.jpg,0.0,0.0,9.0,1.0,10.0
164,29,,,,0.852824,601.0,1.0,0.0,stim_almondjoy.jpg,0.0,0.0,1.0,1.0,10.0
165,30,,,,0.886151,601.0,1.0,0.0,stim_sourpatchkids.jpg,0.0,0.0,16.0,1.0,10.0
166,31,,,,1.203904,601.0,1.0,1.0,stim_kitkat.jpg,0.0,0.0,7.0,1.0,10.0
167,32,,,,0.736336,601.0,1.0,0.0,stim_mmpeanut.jpg,0.0,0.0,10.0,1.0,10.0
168,33,,,,1.0207,601.0,1.0,1.0,stim_crunch.jpg,0.0,0.0,4.0,1.0,10.0
169,34,,,,0.819383,601.0,1.0,0.0,stim_butterfinger.jpg,0.0,0.0,3.0,1.0,10.0
170,35,,,,0.837026,601.0,1.0,1.0,stim_crunch.jpg,0.0,0.0,4.0,1.0,10.0
171,36,,,,0.703025,601.0,1.0,0.0,stim_mrgoodbar.jpg,0.0,0.0,11.0,1.0,10.0
172,37,,,,1.588461,601.0,1.0,0.0,stim_skittles.jpg,0.0,0.0,14.0,1.0,10.0
173,38,,,,2.690099,601.0,1.0,0.0,stim_babyruth.jpg,0.0,0.0,2.0,1.0,10.0
174,39,,,,1.355174,601.0,1.0,1.0,stim_kitkat.jpg,0.0,0.0,7.0,1.0,10.0
175,40,,,,0.852742,601.0,1.0,0.0,stim_whoppers.jpg,0.0,0.0,17.0,1.0,10.0
176,41,,,,0.936275,601.0,1.0,0.0,stim_almondjoy.jpg,0.0,0.0,1.0,1.0,10.0
177,42,,,,1.253506,601.0,1.0,1.0,stim_milkyway.jpg,0.0,0.0,8.0,1.0,10.0
178,43,,,,0.937292,601.0,1.0,1.0,stim_hundredgrand.jpg,0.0,0.0,6.0,1.0,10.0
179,44,,,,0.737314,601.0,1.0,0.0,stim_butterfinger.jpg,0.0,0.0,3.0,1.0,10.0
180,45,,,,1.020229,601.0,1.0,1.0,stim_snickers.jpg,0.0,0.0,15.0,1.0,10.0
181,46,,,,0.953923,601.0,1.0,0.0,stim_mmpeanut.jpg,0.0,0.0,10.0,1.0,10.0
182,47,,,,0.787387,601.0,1.0,0.0,stim_sourpatchkids.jpg,0.0,0.0,16.0,1.0,10.0
183,48,,,,0.803576,601.0,1.0,0.0,stim_reeses.jpg,0.0,0.0,13.0,1.0,10.0
184,49,,,,0.936235,601.0,1.0,1.0,stim_mmchocolate.jpg,0.0,0.0,9.0,1.0,10.0
185,50,,,,1.320292,601.0,1.0,0.0,stim_payday.jpg,0.0,0.0,12.0,1.0,10.0
186,51,,,,0.852734,601.0,1.0,1.0,stim_fruitsnacks.jpg,0.0,0.0,5.0,1.0,10.0
187,52,,,,0.737286,601.0,1.0,0.0,stim_almondjoy.jpg,0.0,0.0,1.0,1.0,10.0
188,53,,,,1.054579,601.0,1.0,0.0,stim_reeses.jpg,0.0,0.0,13.0,1.0,10.0
189,54,,,,1.455332,601.0,1.0,0.0,stim_mrgoodbar.jpg,0.0,0.0,11.0,1.0,10.0
190,55,,,,0.869465,601.0,1.0,0.0,stim_skittles.jpg,0.0,0.0,14.0,1.0,10.0
191,56,,,,1.305086,601.0,1.0,0.0,stim_babyruth.jpg,0.0,0.0,2.0,1.0,10.0
192,57,,,,0.736359,601.0,1.0,0.0,stim_payday.jpg,0.0,0.0,12.0,1.0,10.0
193,58,,,,1.087013,601.0,1.0,1.0,stim_snickers.jpg,0.0,0.0,15.0,1.0,10.0
194,59,,,,1.036424,601.0,1.0,0.0,stim_whoppers.jpg,0.0,0.0,17.0,1.0,10.0
195,60,,,,1.504478,601.0,1.0,0.0,stim_butterfinger.jpg,0.0,0.0,3.0,1.0,10.0
196,61,,,,2.272662,601.0,1.0,1.0,stim_kitkat.jpg,0.0,0.0,7.0,1.0,10.0
197,62,,,,1.988274,601.0,1.0,1.0,stim_crunch.jpg,0.0,0.0,4.0,1.0,10.0
198,63,,,,0.937687,601.0,1.0,1.0,stim_mmchocolate.jpg,0.0,0.0,9.0,1.0,10.0
199,64,,,,0.954398,601.0,1.0,1.0,stim_milkyway.jpg,0.0,0.0,8.0,1.0,10.0
200,65,,,,1.220127,601.0,1.0,1.0,stim_fruitsnacks.jpg,0.0,0.0,5.0,1.0,10.0
201,66,,,,0.88664,601.0,1.0,0.0,stim_mmpeanut.jpg,0.0,0.0,10.0,1.0,10.0
202,67,,,,0.653793,601.0,1.0,0.0,stim_sourpatchkids.jpg,0.0,0.0,16.0,1.0,10.0
203,68,,,,1.120871,601.0,1.0,1.0,stim_hundredgrand.jpg,0.0,0.0,6.0,1.0,10.0
204,69,,,,0.969638,601.0,1.0,0.0,stim_butterfinger.jpg,0.0,0.0,3.0,1.0,10.0
205,70,,,,0.753982,601.0,1.0,1.0,stim_milkyway.jpg,0.0,0.0,8.0,1.0,10.0
206,71,,,,1.421036,601.0,1.0,0.0,stim_mmpeanut.jpg,0.0,0.0,10.0,1.0,10.0
207,72,,,,0.87091,601.0,1.0,0.0,stim_payday.jpg,0.0,0.0,12.0,1.0,10.0
208,73,,,,1.02018,601.0,1.0,1.0,stim_snickers.jpg,0.0,0.0,15.0,1.0,10.0
209,74,,,,1.405329,601.0,1.0,0.0,stim_whoppers.jpg,0.0,0.0,17.0,1.0,10.0
210,75,,,,1.021137,601.0,1.0,0.0,stim_sourpatchkids.jpg,0.0,0.0,16.0,1.0,10.0
211,76,,,,1.604132,601.0,1.0,0.0,stim_babyruth.jpg,0.0,0.0,2.0,1.0,10.0
212,77,,,,0.770672,601.0,1.0,0.0,stim_reeses.jpg,0.0,0.0,13.0,1.0,10.0
213,78,,,,0.735882,601.0,1.0,0.0,stim_mrgoodbar.jpg,0.0,0.0,11.0,1.0,10.0
214,79,,,,0.887116,601.0,1.0,1.0,stim_mmchocolate.jpg,0.0,0.0,9.0,1.0,10.0
215,80,,,,1.320351,601.0,1.0,0.0,stim_skittles.jpg,0.0,0.0,14.0,1.0,10.0
216,81,,,,0.652469,601.0,1.0,0.0,stim_almondjoy.jpg,0.0,0.0,1.0,1.0,10.0
217,82,,,,0.920514,601.0,1.0,1.0,stim_hundredgrand.jpg,0.0,0.0,6.0,1.0,10.0
218,83,,,,0.902864,601.0,1.0,1.0,stim_crunch.jpg,0.0,0.0,4.0,1.0,10.0
219,84,,,,0.785951,601.0,1.0,1.0,stim_kitkat.jpg,0.0,0.0,7.0,1.0,10.0
220,85,,,,0.769708,601.0,1.0,1.0,stim_fruitsnacks.jpg,0.0,0.0,5.0,1.0,10.0
221,86,,,,1.89509,601.0,1.0,0.0,stim_babyruth.jpg,0.0,0.0,2.0,1.0,10.0
222,87,,,,1.35444,601.0,1.0,1.0,stim_milkyway.jpg,0.0,0.0,8.0,1.0,10.0
223,88,,,,0.837023,601.0,1.0,0.0,stim_sourpatchkids.jpg,0.0,0.0,16.0,1.0,10.0
